time,open,high,low,close,tick_volume,spread,real_volume
2025-09-05 15:39:00,1.17255,1.17297,1.17249,1.17294,243,0,0
2025-09-05 15:40:00,1.17295,1.1735,1.17272,1.17291,222,0,0
2025-09-05 15:41:00,1.17291,1.17299,1.17219,1.17244,235,0,0
2025-09-05 15:42:00,1.17243,1.17337,1.17217,1.17333,225,0,0
2025-09-05 15:43:00,1.17329,1.17353,1.17307,1.17334,221,0,0
2025-09-05 15:44:00,1.17334,1.17351,1.1731,1.17349,197,0,0
2025-09-05 15:45:00,1.1735,1.17353,1.17332,1.17344,179,0,0
2025-09-05 15:46:00,1.17346,1.1735,1.17307,1.1733500000000001,192,0,0
2025-09-05 15:47:00,1.17323,1.17338,1.17295,1.17298,231,0,0
2025-09-05 15:48:00,1.17297,1.17349,1.17291,1.17307,212,0,0
2025-09-05 15:49:00,1.1730800000000001,1.17339,1.1730800000000001,1.17314,168,0,0
2025-09-05 15:50:00,1.17314,1.17324,1.17215,1.17224,189,0,0
2025-09-05 15:51:00,1.1722299999999999,1.17298,1.17206,1.17289,209,0,0
2025-09-05 15:52:00,1.17282,1.17312,1.17269,1.17312,181,0,0
2025-09-05 15:53:00,1.17313,1.17324,1.17285,1.17303,153,0,0
2025-09-05 15:54:00,1.17303,1.17351,1.17294,1.17349,178,0,0
2025-09-05 15:55:00,1.17349,1.17389,1.17314,1.17333,183,0,0
2025-09-05 15:56:00,1.17332,1.17332,1.17292,1.17296,164,0,0
2025-09-05 15:57:00,1.17296,1.1731,1.17287,1.17304,124,0,0
2025-09-05 15:58:00,1.17307,1.17329,1.17294,1.17317,160,0,0
2025-09-05 15:59:00,1.17318,1.17351,1.17318,1.17342,158,0,0
2025-09-05 16:00:00,1.17346,1.1739600000000001,1.17325,1.17393,214,0,0
2025-09-05 16:01:00,1.17388,1.17408,1.17356,1.17373,162,0,0
2025-09-05 16:02:00,1.17374,1.17379,1.17331,1.17358,155,0,0
2025-09-05 16:03:00,1.17356,1.17363,1.17333,1.1734499999999999,168,0,0
2025-09-05 16:04:00,1.17344,1.1736,1.17322,1.17343,138,0,0
